,country,year,persons_prosecuted,Adult_victims,child_victims,gdp,policy_index,females_education,life_expectancy
0,Argentina,2005,0,30,0.0,222907566120.932,9,48.82373,73
1,Argentina,2006,0,63,0.0,264489701813.20602,10,48.77301,73
2,Argentina,2007,0,79,0.0,329761480066.765,8,48.798790000000004,73
3,Armenia,2003,0,2,0.0,2807061008.69084,11,48.50162,62
4,Armenia,2004,3,33,0.0,3576615240.41616,8,48.347,62
5,Armenia,2005,11,21,0.0,4900436758.504661,10,48.191359999999996,62
6,Armenia,2006,8,36,0.0,6384457744.44765,11,47.81732,62
7,australia,2003,7,0,0.0,466663366336.634,13,48.62008,77
8,australia,2004,8,32,0.0,613161189358.3721,15,48.61707,77
9,australia,2005,3,22,0.0,693662607126.7479,14,48.59218,77
10,australia,2006,8,16,0.0,747463312368.973,14,48.60962,77
11,australia,2007,3,18,0.0,853854910889.534,14,48.59936,77
12,australia,2008,5,23,0.0,1055506156996.89,14,48.61558,77
13,azerbaijan,2006,0,86,0.0,20982270733.2484,10,47.14305,72
14,azerbaijan,2007,0,101,0.0,33050343782.7759,9,47.228770000000004,72
15,belarus,2003,134,350,0.0,17825436034.5366,11,48.29144,62
16,belarus,2004,176,400,0.0,23141587717.7633,11,47.783409999999996,62
17,belarus,2005,173,564,61.0,30210091836.8294,10,47.75737,62
18,belarus,2006,127,885,222.0,36961918858.7385,9,48.07117,62
19,Bolivia,2005,0,9,23.0,9549196255.88892,7,48.98155,55
20,Bolivia,2006,21,11,41.0,11451845341.2441,9,49.011070000000004,55
21,Bolivia,2007,32,10,31.0,13120183156.7149,10,48.97738,55
27,cambodia,2003,36,340,336.0,4658246906.65795,9,46.7828,51
28,cambodia,2004,33,203,433.0,5337833255.9454,8,47.0335,51
29,cambodia,2005,73,312,303.0,6293046162.11399,10,47.239940000000004,51
30,cambodia,2006,65,100,192.0,7274424518.56764,9,47.29639,51
31,costa rica,2004,11,0,0.0,18596365926.8535,9,48.3085,79
32,costa rica,2005,5,0,0.0,19964893807.3935,9,48.25056,79
33,costa rica,2006,7,0,0.0,22526464409.0829,10,48.34981,79
34,dominican Republic,2005,6,55,0.0,361615917.77777797,11,49.36201,73
35,dominican Republic,2006,4,55,52.0,382299140.37037003,10,47.8447,73
36,dominican Republic,2007,9,55,205.0,412592592.592593,10,47.87404,73
37,dominican Republic,2003,0,55,0.0,340803912.870075,7,47.86593,73
38,dominican Republic,2004,0,55,0.0,366976849.444881,8,47.51171,73
39,Egypt,2003,19,9,0.0,82923680621.5433,5,47.60759,61
40,Egypt,2004,22,9,0.0,78845185709.4117,5,47.87272,61
41,Egypt,2005,5,13,0.0,89685724889.1628,7,47.336000000000006,61
42,Egypt,2006,30,11,0.0,107484034648.245,4,47.40855,61
43,Egypt,2007,26,0,0.0,130477817194.41199,6,47.59621,61
44,el salvador,2006,21,59,0.0,18550700000.0,12,48.234359999999995,65
45,el salvador,2007,17,23,73.0,20104900000.0,11,48.16898,65
46,el salvador,2004,0,0,14.0,15798300000.0,9,48.17351,65
47,el salvador,2005,0,0,41.0,17093800000.0,11,49.09469,65
48,georgia,2005,6,11,2.0,6411147323.20169,9,48.28722,72
49,georgia,2006,11,21,0.0,7761900179.1130705,13,48.83848,72
50,guatemala,2006,0,245,10.0,30231130542.9832,10,47.7458,68
51,guatemala,2007,0,813,25.0,34113106486.1272,11,47.91317,68
52,guatemala,2008,0,548,15.0,39136441798.9418,10,48.02463,68
53,India,2003,17870,0,0.0,618356467437.8671,10,46.82275,62
54,India,2004,20390,0,0.0,721585608183.5029,12,46.9309,62
55,india,2005,23053,0,0.0,834215013605.0079,9,47.59237,62
56,India,2006,25844,0,0.0,949116769619.216,10,47.88722,62
57,indonesia,2003,88,81,20.0,234772458818.096,9,48.67859,62
58,indonesia,2004,30,103,0.0,256836883304.553,10,48.72238,62
59,indonesia,2005,27,125,18.0,285868610016.591,9,48.26,62
60,indonesia,2006,58,496,129.0,364570525997.05396,9,48.236940000000004,62
61,indonesia,2007,88,334,150.0,432216737774.861,12,48.0562,62
62,israel,2003,20,0,0.0,118673283414.945,9,48.652809999999995,69
63,israel,2004,37,119,0.0,126571173583.22198,10,48.72566,69
64,israel,2005,31,105,0.0,133959001782.53099,11,48.79162,69
65,israel,2006,29,84,0.0,150985573252.839,12,48.86269,69
66,japan,2003,41,83,0.0,4302939184963.79,9,48.79416,73
67,japan,2004,58,77,0.0,4655803055650.55,10,48.781290000000006,73
68,japan,2005,83,117,0.0,4571866957195.37,13,48.79869,73
69,japan,2006,78,58,0.0,4356749775546.81,11,48.80791,73
70,kazakhstan,2003,6,0,0.0,30833692831.3955,10,48.8538,60
71,kazakhstan,2004,3,0,0.0,43151647002.6096,11,48.804829999999995,60
