country,year,persons_prosecuted,Adult_victims,child_victims,gdp,policy_index,females_education,life_expectancy
Argentina,2005,0,30,0,26.13002302,2.302585093,3.908491377,4.304065093
Argentina,2006,0,63,0,26.30106815,2.397895273,3.907472869,4.304065093
Argentina,2007,0,79,0,26.52163544,2.197224577,3.907990687,4.304065093
Armenia,2003,0,2,0,21.75540387,2.48490665,3.902005396,4.143134726
Armenia,2004,1.386294361,33,0,21.99768273,2.197224577,3.898876974,4.143134726
Armenia,2005,2.48490665,21,0,22.31259017,2.397895273,3.895717998,4.143134726
Armenia,2006,2.197224577,36,0,22.5771324,2.48490665,3.888085168,4.143134726
australia,2003,2.079441542,0,0,26.86887399,2.63905733,3.904395591,4.356708827
australia,2004,2.197224577,32,0,27.14189369,2.772588722,3.904334928,4.356708827
australia,2005,1.386294361,22,0,27.26525152,2.708050201,3.90383316,4.356708827
australia,2006,2.197224577,16,0,27.33995106,2.708050201,3.904184767,4.356708827
australia,2007,1.386294361,18,0,27.47302712,2.708050201,3.90397793,4.356708827
australia,2008,1.791759469,23,0,27.68504154,2.708050201,3.904304897,4.356708827
azerbaijan,2006,0,86,0,23.76694367,2.397895273,3.874176787,4.290459441
azerbaijan,2007,0,101,0,24.22129781,2.302585093,3.875955731,4.290459441
belarus,2003,4.905274778,350,0,23.60389226,2.48490665,3.897750435,4.143134726
belarus,2004,5.176149733,400,0,23.86489717,2.48490665,3.887390296,4.143134726
belarus,2005,5.159055299,564,4.127134385,24.13144187,2.397895273,3.886856366,4.143134726
belarus,2006,4.852030264,885,5.407171771,24.333154,2.302585093,3.893271693,4.143134726
Bolivia,2005,0,9,3.17805383,22.97972283,2.079441542,3.911653937,4.025351691
Bolivia,2006,3.091042453,11,3.737669618,23.16141672,2.302585093,3.912244381,4.025351691
Bolivia,2007,3.496507561,10,3.465735903,23.29741758,2.397895273,3.911570503,4.025351691
cambodia,2003,3.610917913,340,5.82008293,22.26190501,2.302585093,3.866665742,3.951243719
cambodia,2004,3.526360525,203,6.073044534,22.39808565,2.197224577,3.871898684,3.951243719
cambodia,2005,4.304065093,312,5.717027701,22.56271108,2.397895273,3.876187309,3.951243719
cambodia,2006,4.189654742,100,5.262690189,22.70763054,2.302585093,3.877356817,3.951243719
costa rica,2004,2.48490665,0,0,23.64623202,2.302585093,3.89809648,4.382026635
costa rica,2005,1.791759469,0,0,23.71724126,2.302585093,3.896920738,4.382026635
costa rica,2006,2.079441542,0,0,23.83795665,2.397895273,3.898933916,4.382026635
dominican Republic,2005,1.945910149,55,0,19.70609321,2.48490665,3.919237121,4.304065093
dominican Republic,2006,1.609437912,55,3.970291914,19.76171395,2.397895273,3.888645877,4.304065093
dominican Republic,2007,2.302585093,55,5.327876169,19.83797121,2.397895273,3.889246376,4.304065093
dominican Republic,2003,0,55,0,19.64681784,2.079441542,3.889080426,4.304065093
dominican Republic,2004,0,55,0,19.72080933,2.197224577,3.881805212,4.304065093
Egypt,2003,2.995732274,9,0,25.14118651,1.791759469,3.883779692,4.127134385
Egypt,2004,3.135494216,9,0,25.09075209,1.791759469,3.889219368,4.127134385
Egypt,2005,1.791759469,13,0,25.21957745,2.079441542,3.878176625,4.127134385
Egypt,2006,3.433987204,11,0,25.40060816,1.609437912,3.879676451,4.127134385
Egypt,2007,3.295836866,0,0,25.59446907,1.945910149,3.883545544,4.127134385
el salvador,2006,3.091042453,59,0,23.64377336,2.564949357,3.896591754,4.189654742
el salvador,2007,2.890371758,23,4.304065093,23.7242294,2.48490665,3.895262937,4.189654742
el salvador,2004,0,0,2.708050201,23.48316818,2.302585093,3.895355064,4.189654742
el salvador,2005,0,0,3.737669618,23.56198166,2.48490665,3.913915014,4.189654742
georgia,2005,1.945910149,11,1.098612289,22.58130408,2.302585093,3.897664818,4.290459441
georgia,2006,2.48490665,21,0,22.77249301,2.63905733,3.908787376,4.290459441
guatemala,2006,0,245,2.397895273,24.13213804,2.397895273,3.88661904,4.234106505
guatemala,2007,0,813,3.258096538,24.2529475,2.48490665,3.890046685,4.234106505
guatemala,2008,0,548,2.772588722,24.39031989,2.397895273,3.892322825,4.234106505
