Country,Penetration
Afghanistan,0.06
Africa,0.21
Aland Islands,0.00
Albania,0.60
Algeria,0.17
American Samoa,0.06
Andorra,0.94
Angola,0.19
Anguilla,0.65
Antarctica,0.00
Antigua & Barbuda,0.81
Argentina,0.75
Armenia,0.59
Aruba,0.79
Asia,0.33
Australia,0.87
Austria,0.81
Azerbaijan,0.59
"Bahamas, The",0.73
Bahrain,0.90
Bangladesh,0.25
Barbados,0.75
Belarus,0.54
Belgium,0.82
Belize,0.32
Benin,0.05
Bermuda,0.95
Bhutan,0.30
Bolivia,0.40
"Bonaire, St.Eustat, Saba",0.94
Bosnia and Herzegovina,0.68
Botswana,0.15
Bouvet Island,0.00
Brazil,0.54
British Indian Ocean T.,0.00
British Virgin Islands,0.45
Brunei Darussalam,0.75
Bulgaria,0.53
Burkina Faso,0.04
Burundi,0.04
Cabo Verde,0.38
Cambodia,0.06
Cameroon,0.06
Canada,0.91
"Caribbean, the",0.40
Cayman Islands,0.74
Central African Republic,0.04
Central America,0.44
Chad,0.02
Chile,0.67
China,0.47
Christmas Island,0.31
Cocos (Keeling) Islands,0.00
Colombia,0.62
Comoros,0.07
Congo,0.07
"Congo, Dem. Rep. of the",0.02
Cook Islands,0.48
Costa Rica,0.85
Cote D'Ivoire,0.04
Croatia,0.71
Cuba,0.26
Cura?ao,0.94
Cyprus,0.66
Czech Republic,0.74
Denmark,0.95
Djibouti,0.10
Dominica,0.59
Dominican Republic,0.59
East Timor (Timor-Leste),0.01
Ecuador,0.77
Egypt,0.50
El Salvador,0.27
Equatorial Guinea,0.16
Eritrea,0.06
Estonia,0.80
Ethiopia,0.02
Europe,0.69
European Union,0.77
Falkland Is. (Malvinas),0.97
Faroe Islands,0.90
Fiji,0.37
Finland,0.92
France,0.83
French Guiana,0.28
French Polynesia,0.57
French Southern Terr.,0.00
Gabon,0.39
"Gambia, the",0.14
Georgia,0.43
Germany,0.86
Ghana,0.17
Gibraltar,0.71
Greece,0.60
Greenland,0.90
Grenada,0.35
Guadeloupe,0.37
Guam,0.65
Guatemala,0.20
Guernsey and Alderney,0.84
"Guiana, French",0.28
Guinea,0.02
Guinea-Bissau,0.03
"Guinea, Equatorial",0.16
Guyana,0.33
Haiti,0.11
Heard & McDonald Is.,0.00
Holy See (Vatican),0.57
Honduras,0.18
"Hong Kong, (China)",0.75
Hungary,0.73
Iceland,0.97
India,0.16
Indonesia,0.28
"Iran, Islamic Republic of",0.56
Iraq,0.09
Ireland,0.78
Israel,0.71
Italy,0.59
Ivory Coast (Cote d'Ivoire),0.04
Jamaica,0.54
Japan,0.86
Jersey,0.48
Jordan,0.44
Kazakhstan,0.54
Kenya,0.47
Kiribati,0.12
Korea Dem. People's Rep.,0.00
"Korea, (South) Republic of",0.85
Kosovo,0.77
Kuwait,0.76
Kyrgyzstan,0.39
Lao People's Dem. Rep.,0.13
Latvia,0.75
Lebanon,0.71
Lesotho,0.05
Liberia,0.05
Libyan Arab Jamahiriya,0.17
Liechtenstein,0.94
Lithuania,0.69
Luxembourg,0.94
"Macao, (China)",0.66
"Macedonia, TFYR",0.61
Madagascar,0.02
Malawi,0.05
Malaysia,0.67
Maldives,0.44
Mali,0.03
Malta,0.69
"Man, Isle of",0.45
Marshall Islands,0.12
Martinique (FR),0.41
Mauritania,0.06
Mauritius,0.39
Mayotte (FR),0.47
Mexico,0.49
"Micronesia, Fed. States of",0.28
Middle East,0.45
"Moldova, Republic of",0.49
Monaco,0.91
Mongolia,0.22
Montenegro,0.57
Montserrat,0.55
Morocco,0.56
Mozambique,0.05
Myanmar (ex-Burma),0.01
Namibia,0.14
Nauru,0.06
Nepal,0.13
Netherlands,0.94
Netherlands Antilles,0.00
New Caledonia,0.66
New Zealand,0.87
Nicaragua,0.16
Niger,0.02
Nigeria,0.38
Niue,0.92
Norfolk Island,0.32
North America,0.85
Northern Mariana Islands,0.31
Norway,0.95
Oceania,0.68
Oman,0.66
Pakistan,0.15
Palau,0.31
Palestinian Territory,0.55
Panama,0.43
Papua New Guinea,0.07
Paraguay,0.37
Peru,0.39
Philippines,0.41
Pitcairn Island,0.00
Poland,0.65
Portugal,0.62
Puerto Rico,0.74
Qatar,0.85
Reunion (FR),0.35
Romania,0.50
Russia (Russian Fed.),0.61
Rwanda,0.09
"Sahara, Western",0.00
Saint Barthelemy (FR),0.21
Saint Helena (UK),0.38
Saint Kitts and Nevis,0.80
Saint Lucia,0.88
Saint Martin (FR),0.00
S Pierre & Miquelon(FR),0.00
S Vincent & Grenadines,0.74
Samoa,0.15
San Marino,0.52
Sao Tome and Principe,0.23
Saudi Arabia,0.61
Senegal,0.21
Serbia,0.57
Seychelles,0.50
Sierra Leone,0.02
Singapore,0.73
Slovakia,0.79
Slovenia,0.73
Solomon Islands,0.08
Somalia,0.02
South Africa,0.49
South America,0.55
S.George & S.Sandwich,0.00
South Sudan,0.00
Spain,0.75
Sri Lanka (ex-Ceilan),0.22
Sudan,0.23
Suriname,0.37
Svalbard & Jan Mayen Is.,0.00
Swaziland,0.25
Sweden,0.95
Switzerland,0.87
Syrian Arab Republic,0.26
Taiwan,0.80
Tajikistan,0.16
"Tanzania, United Rep. of",0.14
Thailand,0.30
Timor-Leste (East Timor),0.01
Togo,0.05
Tokelau,0.60
Tonga,0.35
Trinidad & Tobago,0.64
Tunisia,0.44
Turkey,0.46
Turkmenistan,0.10
Turks and Caicos Is.,0.30
Tuvalu,0.40
Uganda,0.16
Ukraine,0.42
United Arab Emirates,0.88
United Kingdom,0.90
United States,0.87
US Minor Outlying Isl.,0.00
Uruguay,0.58
Uzbekistan,0.38
Vanuatu,0.11
Vatican (Holy See),0.57
Venezuela,0.46
Viet Nam,0.44
"Virgin Islands, British",0.45
"Virgin Islands, U.S.",0.45
Wallis and Futuna,0.09
Western Sahara,0.00
Yemen,0.20
Zambia,0.15
Zimbabwe,0.19
