Date,Open,High,Low,Close,Volume,Adj Close
9/16/2014,46.39,46.85,46.29,46.76,27865200,46.76
9/15/2014,46.54,46.71,46.1,46.24,37630700,46.24
9/12/2014,46.91,47.02,46.6,46.7,38244700,46.7
9/11/2014,46.74,47,46.47,47,29216400,47
9/10/2014,46.82,46.94,46.28,46.84,27302400,46.84
9/9/2014,46.47,46.97,46.42,46.76,40255500,46.76
9/8/2014,46.02,46.8,45.99,46.47,45719000,46.47
9/5/2014,45.11,45.93,45.11,45.91,36882700,45.91
9/4/2014,44.74,45.27,44.72,45.26,26475500,45.26
9/3/2014,44.53,45.11,44.53,44.96,33684500,44.96
9/2/2014,45.43,45.46,44.85,45.09,22956800,45.09
8/29/2014,45.09,45.44,44.86,45.43,21607600,45.43
8/28/2014,44.75,44.98,44.61,44.88,17657600,44.88
8/27/2014,44.9,45,44.76,44.87,20823000,44.87
8/26/2014,45.31,45.4,44.94,45.01,14873100,45.01
8/25/2014,45.4,45.44,45.04,45.17,16898100,45.17
8/22/2014,45.35,45.47,45.07,45.15,18294500,45.15
8/21/2014,44.84,45.25,44.83,45.22,22272000,45.22
8/20/2014,45.34,45.4,44.9,44.95,24750700,44.95
8/19/2014,44.97,45.34,44.83,45.33,28115600,45.33
8/18/2014,44.94,45.11,44.68,45.11,26891100,44.83
8/15/2014,44.58,44.9,44.4,44.79,41611300,44.51
8/14/2014,44.08,44.42,44.01,44.27,19313200,44
8/13/2014,43.68,44.18,43.52,44.08,22889500,43.81
8/12/2014,43.04,43.59,43,43.52,21431100,43.25
8/11/2014,43.26,43.45,43.02,43.2,20351600,42.93
8/8/2014,43.23,43.32,42.91,43.2,28942700,42.93
8/7/2014,42.84,43.45,42.65,43.23,30314900,42.96
8/6/2014,42.74,43.17,42.21,42.74,24634000,42.47
8/5/2014,43.31,43.46,42.83,43.08,26266400,42.81
8/4/2014,42.97,43.47,42.81,43.37,34277400,43.1
8/1/2014,43.21,43.25,42.6,42.86,31170300,42.59
7/31/2014,43.38,43.69,43.08,43.16,31537500,42.89
7/30/2014,44.07,44.1,43.29,43.58,31921400,43.31
7/29/2014,43.91,44.09,43.64,43.89,27763100,43.62
7/28/2014,44.36,44.51,43.93,43.97,29684200,43.7
7/25/2014,44.3,44.66,44.3,44.5,26737700,44.22
7/24/2014,44.93,45,44.32,44.4,30725300,44.12
7/23/2014,45.45,45.45,44.62,44.87,52362900,44.59
7/22/2014,45,45.15,44.59,44.83,43095800,44.55
7/21/2014,44.56,45.16,44.22,44.84,37604400,44.56
7/18/2014,44.65,44.84,44.25,44.69,43407500,44.41
7/17/2014,45.45,45.71,44.25,44.53,82180300,44.25
7/16/2014,42.51,44.31,42.48,44.08,63318000,43.81
7/15/2014,42.33,42.47,42.03,42.45,28748700,42.19
7/14/2014,42.22,42.45,42.04,42.14,21881100,41.88
7/11/2014,41.7,42.09,41.48,42.09,24083000,41.83
7/10/2014,41.37,42,41.05,41.69,21854700,41.43
7/9/2014,41.98,41.99,41.53,41.67,18445900,41.41
7/8/2014,41.87,42,41.61,41.78,31218200,41.52
7/7/2014,41.75,42.12,41.71,41.99,21952400,41.73
7/3/2014,41.91,41.99,41.56,41.8,15969300,41.54
7/2/2014,41.73,41.9,41.53,41.9,20208100,41.64
7/1/2014,41.86,42.15,41.69,41.87,26917000,41.61
6/30/2014,42.17,42.21,41.7,41.7,30805500,41.44
6/27/2014,41.61,42.29,41.51,42.25,74640000,41.99
6/26/2014,41.93,41.94,41.43,41.72,23604400,41.46
6/25/2014,41.7,42.05,41.46,42.03,20049100,41.77
6/24/2014,41.83,41.94,41.56,41.75,26509100,41.49
6/23/2014,41.73,42,41.69,41.99,18743900,41.73
6/20/2014,41.45,41.83,41.38,41.68,47764900,41.42
6/19/2014,41.57,41.77,41.33,41.51,19828200,41.25
6/18/2014,41.61,41.74,41.18,41.65,27097000,41.39
6/17/2014,41.29,41.91,40.34,41.68,22518600,41.42
6/16/2014,41.04,41.61,41.04,41.5,24205300,41.24
6/13/2014,41.1,41.57,40.86,41.23,26310000,40.97
6/12/2014,40.81,40.88,40.29,40.58,29818900,40.33
6/11/2014,40.93,41.07,40.77,40.86,18040000,40.61
6/10/2014,41.03,41.16,40.86,41.11,15117700,40.85
